PC1,PC2
0.5656963705900913,-1.6284650436817063
0.8421769313131515,-1.6721141926176575
0.8148515995984486,-1.6939199722504552
1.10572519721388,-1.6358274039669018
1.1021208094939259,-1.6738732358178756
1.0866787439250307,-1.6857474673347599
1.363594592199442,-1.6518980151168647
1.347919005246209,-1.6273927854925851
1.3104141857604914,-1.6660474250329316
1.2717373433772663,-1.6887128580642383
1.1920138424849842,-1.637479970553416
1.1254395357357037,-1.6839619343541117
1.0648665974293927,-1.6618703656253266
1.023430676005374,-1.652669809750707
1.0101173487897672,-1.646078262325339
0.9775375351041166,-1.6435884440730435
0.9355379996686429,-1.6642375359919301
0.9240277003976158,-1.670221590189912
0.8766562154349068,-1.6678024284818067
0.8655653041941064,-1.6779701412529113
0.8625951327704338,-1.6397580902097675
0.8663577937131558,-1.6741567985115142
0.8291943400888465,-0.6860357821439351
0.8455880872807986,-1.6914333772363475
0.8447391611294285,-1.6763437445803455
0.829065570552254,-1.62596428336699
0.7805603857868384,-1.6654314480461423
0.7996984927335917,-1.646236304556407
0.7770559583390537,-1.6635382646656485
0.7497801933034691,-1.698510853051217
0.7753437591391015,-1.6794898280896804
0.7588986961997832,-1.6777408480794929
0.7745278189721889,-1.686144413851201
0.7420010311902662,-1.671330317678353
0.7799889829800584,-1.6309092726967755
0.7806827893245737,-1.6727804502187562
0.7792284954118966,-1.6595135343359286
0.820187055894322,-1.6533466606285219
0.8300911388747927,-1.6860083640643337
0.8324533728197016,-1.65189052439357
0.8819637043703512,-1.6680665731049666
0.8790192404621432,-1.6900081712577557
0.9372833402841919,-1.6447181702675175
0.9489771360453657,-1.6959745354111906
0.9883336010684605,-1.671804179012196
1.0234613262029328,-1.6484343958498664
1.0017749011072088,-1.6525606441715972
1.0242276278532592,-1.6683472607002017
1.026989874096759,-1.6674476523499129
1.0012356006775225,-1.6830766814760105
1.0295244027538666,-1.6448749279403927
1.0245173224942352,-1.6876611203589666
1.0201806408990108,-1.6376098767073646
1.0058812709973604,-1.6536243858141568
0.9784173925441373,-1.6715937881536072
0.992197090025728,-1.691108072870439
0.9901583077396717,-1.6672451026877615
0.9799875173447927,-1.6813949001745156
0.9780702685201065,-1.6524689477113654
0.9726449493055787,-1.669866386617875
0.9779932050434496,-1.6653807577657012
0.950621629337797,-1.681631240753573
0.9741376591514262,-1.6650221849407045
0.9568981455111639,-1.6373734603060244
0.9514062785551635,-1.6530276214293953
0.9657302862902882,-1.6481076853745902
0.9484722549581058,-1.6553123565736945
0.9227146593706436,-1.6771651964460166
0.9092898846112772,-1.653586362438875
0.8736700426434466,0.5256767406680268
0.9154942905475421,-1.1370992081470588
0.9186210967762407,-0.3658022831625285
0.9175765006921859,-1.6613899027404382
0.9178653923234219,-1.6540174971303718
0.9067421919789114,-1.6913409688727237
0.9268828852922028,-1.6589460817265549
0.9525512957683411,-1.6403843098720718
0.9410550743254881,-1.6767129818562472
0.9553325462481794,-1.6633729288427064
0.9481531145700562,0.0010700784146707193
1.0053698082499942,-1.6359587213493192
1.0093310965934972,-1.6701764183226684
1.055277608877705,-1.6669268538057638
1.0798336244473234,-1.6568316475633456
1.0877442172273921,-1.6503386647716878
1.1622645824651678,-1.6390999644862085
1.1772870458605784,-1.6707880871088283
1.2025367593293506,-1.658721663072934
1.2224085595879368,-1.6606917710332478
1.240716232906417,-1.627117071528399
1.2545287308555484,-1.6318409927877149
1.2597821811732588,-1.7026131220464849
1.2796152702218266,-1.6632439448332674
1.29237568398277,-1.6436653473728293
1.3211644804285905,-1.6437827167428765
1.3653893610448842,-1.6413572337758684
1.415135610153962,-1.6716971113186694
1.4113410191346685,-1.6538560538044547
1.4336736378124952,-1.6507996592582477
1.428124394664765,-1.6641981999309359
1.417972064476499,-1.635809099102118
1.4329570482891325,-1.632349562250042
1.4017923638740344,-1.6801127334581163
1.404419476946098,-1.6866082509561848
1.4032878426127242,-1.6559100389165144
1.402701406254133,-1.6668455648629381
1.416766757530941,-1.8206932497304174
1.3709959769649154,-1.680554677508673
1.3698989776131743,-1.1093503021057538
1.3952340122373814,-1.6555503646528649
1.3918555090683313,-1.6366797585374626
1.4008146707466933,-1.6696075302438684
1.3825371768637664,-1.6812469768758123
1.3183874445194623,-1.6588028604087823
1.3313505615282033,-1.6801585594020056
1.2936641846147825,-1.6727773151450063
1.2916678724148427,-1.6357687159838203
1.2936146221104026,-1.652782394703111
1.260735568687264,-1.679694393470458
1.253329660945936,-1.6857759169966222
1.2806592440801143,-1.6565658066178657
1.2520659006725223,-1.6782853582751103
1.2469625309788988,-1.6642580167075214
1.2717893414184986,-1.665455726557186
1.300148681186293,-1.6659879880838815
1.2870802989586416,-1.6823830793761763
1.3206809966694106,-1.6313790160390553
1.3131743300764394,-1.6686924922943975
1.2988188027545875,-1.6286025508389554
1.3192854553381739,-1.6790536784367558
1.3378568013164274,-1.6848914583699692
1.3278980557090523,-1.6437159082108228
1.3224043802831518,-1.6817974380881802
1.3461042019225087,-1.6298804752563063
1.35433665686459,-1.7366539866882842
1.3377604466981006,-1.6651637940395851
1.3094963537396245,-1.675325374966906
1.2894946475369395,-1.6830931665809512
1.2647789801331148,-1.6672156913394325
1.2467092270266964,-1.6488500484552053
1.2845677065766312,-1.6477157389630757
1.332524383320297,-1.8770137924351957
1.2847175877061343,-1.63939942614444
1.3136569017289563,-1.6742840179477245
1.3451638041982223,-1.674482078392213
1.3481839497693204,-1.6574348730109796
1.3934943018646597,-0.4040157688471267
1.4165572681576744,-1.6802555001782002
1.426368783125012,-1.644606450715894
1.4320909600596705,-1.676381932295183
1.4092348257297291,-0.9968625954553376
1.4430134115757642,-1.6518759588717058
1.46387063887632,-1.6748153162500778
1.488085441345144,-1.6774684895052074
1.4888531798244284,-1.6589332658281037
1.5002365891944456,-1.6583361071730909
1.5172023385225935,-1.7652527370375233
1.5084206245175455,-1.6643297195484026
1.543309015461757,-1.6465169665083124
1.5464049961183313,-1.6468733519795036
1.5600501379384992,-1.6328250260582644
1.5701154592549884,-1.6514033722845198
1.5519605936524061,-1.6360810846990435
1.5884503215038193,-1.663708731968517
1.590799577292783,-1.6591726961150544
1.597984374113805,-1.6817124001082215
1.6008867071684454,-1.6761146391982014
1.6316761354358076,-1.6638015124775523
1.6093389512403655,-1.6795373247678989
1.5936194994408097,-1.6215767412536861
1.6301336298660447,-1.6990700844012139
1.5983433661950661,-1.6583928794997957
1.6108163690370172,-1.6577648402234069
1.588781441638931,-1.6474775091837188
1.5452969968508365,-1.645623894935664
1.536148699773588,-1.6761130880664583
1.5258508846110495,-1.6410581517826177
1.5101977604139243,-1.6338601837594935
1.4932497726371388,-1.6902932993238562
1.463378159899699,-1.6773353316444906
1.4415826167793089,-1.650897550751308
1.4405686173767966,-1.6403058380041844
1.4752886712307192,-1.6637638368150995
1.4618795790248404,-1.6560616925635039
1.4865638861952448,-1.6705354576088576
1.4651198029288883,-1.6747439004241356
1.4526201273004111,-1.6936306369965473
1.4841780393249038,-1.652058247106481
1.481057911255728,-1.632687222293347
1.4982651487791911,-1.6585536612034455
1.508282294226595,-1.6388759728846305
1.5045144749953019,-1.675144501046212
1.5534660385991714,-1.6707892389551229
1.5632898270710427,-1.634464849034554
1.5609994994511465,-1.6577572847258246
1.584426591978405,-1.6598357418652732
1.5541802563822162,-1.637153585440386
1.5401230876454648,-0.5825752345523894
1.5972339399039583,-1.6629598196747433
1.5643363794582539,-1.665916327507968
1.6248775556962718,-1.6688621588342407
1.6209291086246762,-1.6780773761467505
1.6249301239498368,-1.6730106570758865
1.6435914611900915,-1.648657718425691
1.694910896130575,-1.7892643910040575
1.6721271095915222,-1.6556555471863061
1.707596080279266,-1.6531691825289425
1.6753851016194252,-1.6909711290703908
1.6978977359037783,-1.6800143007807984
1.6956707103608477,-1.6571749317654414
1.733102433491606,-1.6786612299859252
1.7562704582032707,-1.6952959051905305
1.7777016452555001,-1.6485021454490014
1.8122953468292233,-1.6696622439014563
1.848870450359816,-1.669438560755662
1.8744328520311866,-1.6763268715723507
1.9237881135181485,-1.678600963694919
1.919680238003633,-1.6576509446467653
1.9264295873507076,-1.6387565338743912
1.9332083422727795,-1.669690807447479
1.889330151432391,0.4519128998264942
1.9328785502585675,-1.671252113608042
1.9488802573449404,-1.644472559811724
1.9428068697598957,-1.6770155857664
1.9057096521390253,-1.6796149667005418
1.906355520541583,-1.677998192031732
1.866521400544187,-1.6638329255978739
1.8286374720048864,-0.7598888754104411
1.8553851903695735,-1.6503306451725182
1.8350404691273177,-1.6386166713172685
1.86761019978288,-1.645092873643597
1.8618716994727427,-1.7130617778110933
1.8540323355771053,-1.6753438226778177
1.8463968484554505,-1.6959790818692617
1.854459589853306,-1.66441775673951
1.841773327906686,-1.6867089373919284
1.8270090448132503,-1.660756927498682
1.8254471739460982,-1.8344304823711792
1.786340940095905,-1.640490601436207
1.7922930691994157,-1.660828060510581
1.792097712757466,-1.6680646951497566
